tipo;precio;localidad;latitud;longitud;superficie_construida;habitaciones;banyos;antiguedad;conservacion;terraza;jardin;orientacion;garaje;piscina;aire_acondicionado;trastero;ascensor;planta;fecha;detalle_url
Ático;70000;Alcoi Alcoy;38.700241319;-0.481299659;90.0;2.0;1.0;Entre 5 y 10 años;En buen estado;True;Desconocido;Desconocido;Desconocido;Sin piscina;False;True;False;5ª;2025-12-23;https://www.pisos.com/comprar/atico-alcoi_alcoy_ensanche-38313605_500626/
Piso;139000;Ibi;38.6241741090101;-0.574838651520533;120.0;4.0;1.0;Entre 30 y 50 años;En buen estado;True;Desconocido;Este;Desconocido;Sin piscina;False;True;True;4ª;2026-02-24;https://www.pisos.com/comprar/piso-ibi_centro_urbano-58089976_443300/
Ático;950000;Alicante Alacant;38.3807299;-0.4101186;100.0;3.0;2.0;Desconocida;A reformar;True;Comunitario;Sur-Este;Privado;Comunitaria;False;False;True;10ª;2026-02-02;https://www.pisos.com/comprar/atico-playas_playa_de_san_juan03540-62379629_434200/
Piso;200000;La Vila Joiosa Villajoyosa;38.5024926701045;-0.241089855951997;85.0;3.0;2.0;Entre 10 y 20 años;En buen estado;True;Privado;Desconocido;Desconocido;Sin piscina;True;True;True;0ª;2026-02-24;https://www.pisos.com/comprar/piso-montiboli_playa_el_paraiso-70212031_263100/
Piso;115000;Alcoi Alcoy;38.691936218;-0.488744753;90.0;4.0;2.0;Desconocida;En buen estado;True;Desconocido;Desconocido;Privado;Sin piscina;False;True;True;0ª;;https://www.pisos.com/comprar/piso-alcoi_alcoy_santa_rosa-91701876_500626/
Ático;490000;Alicante Alacant;38.3729557;-0.4186541;125.0;3.0;2.0;Entre 10 y 20 años;A estrenar;True;Comunitario;Todos;Privado;Exterior;True;False;True;10ª;2026-02-02;https://www.pisos.com/comprar/atico-playas_playa_de_san_juan03540-110703881_434200/
Ático;90000;Alcoi Alcoy;38.69777;-0.4855081;80.0;1.0;1.0;Desconocida;En buen estado;True;Desconocido;Desconocido;Desconocido;Sin piscina;False;False;False;4ª;2025-10-28;https://www.pisos.com/comprar/atico-alcoi_alcoy_santa_rosa-143593934_500626/
Ático;365000;La Vila Joiosa Villajoyosa;38.522704436;-0.17754721;131.0;3.0;3.0;Desconocida;En buen estado;True;Comunitario;Sur-Este;Privado;Comunitaria;True;True;True;12ª;;https://www.pisos.com/comprar/atico-cala_de_villajoyosa-161137944_263100/
Piso;140000;Muro de Alcoy;38.781814633;-0.443843119;164.0;4.0;2.0;Desconocida;En buen estado;False;Desconocido;Desconocido;Desconocido;Sin piscina;False;False;True;4ª;2025-08-01;https://www.pisos.com/comprar/piso-muro_de_alcoy_centro_urbano-246821078_500626/
Piso;140000;Alcoi Alcoy;38.6973101;-0.4870018;120.0;4.0;2.0;Desconocida;A reformar;False;Desconocido;Este;Desconocido;Sin piscina;False;False;True;2ª;2025-05-13;https://www.pisos.com/comprar/piso-alcoi_alcoy_santa_rosa-286611220_500626/
Piso;270000;Benidorm;38.531012679;-0.163770656;92.0;2.0;2.0;Entre 20 y 30 años;En buen estado;True;Comunitario;Sur-Este;Privado;Sin piscina;False;False;True;7ª;;https://www.pisos.com/comprar/piso-platja_de_ponent-630598230_263100/
Piso;193700;Finestrat;38.5288477;-0.1658791;70.0;2.0;1.0;Entre 30 y 50 años;En buen estado;True;Privado;Desconocido;Privado;Exterior;False;False;True;1ª;2026-02-24;https://www.pisos.com/comprar/piso-finestrat_cala_de_finestrat-655364961_263100/
Apartamento;230000;La Vila Joiosa Villajoyosa;38.5244454;-0.1703639;80.0;2.0;2.0;Desconocida;En buen estado;True;Privado;Desconocido;Privado;Sin piscina;False;False;True;2ª;;https://www.pisos.com/comprar/apartamento-cala_de_villajoyosa-665993384_263100/
Chalet;298000;Sax;38.5253050958405;-0.815885066986084;531.0;5.0;2.0;Entre 10 y 20 años;En buen estado;True;Desconocido;Desconocido;Privado;Sin piscina;False;False;False;0ª;2025-12-11;https://www.pisos.com/comprar/chalet_rustico-sax_centro_urbano-830023505_184300/
Chalet;280800;Algorfa;38.068424768;-0.783528207;570.0;5.0;2.0;Desconocida;En buen estado;True;Desconocido;Desconocido;Privado;Sin piscina;True;True;False;0ª;2026-02-23;https://www.pisos.com/comprar/chalet-algorfa_centro_urbano-835227951_106700/
Piso;350000;El Campello;38.4053589;-0.4080773;75.0;2.0;2.0;Desconocida;En buen estado;True;Comunitario;Sur;Privado;Comunitaria;True;True;True;11ª;2026-02-24;https://www.pisos.com/comprar/piso-platja_muchavista-861597487_100500/
Finca;210000;Dolores;38.136025284;-0.759444635;570.0;5.0;2.0;Desconocida;Desconocida;False;Desconocido;Desconocido;Desconocido;Sin piscina;False;False;False;0ª;2025-07-26;https://www.pisos.com/comprar/finca_rustica-dolores_centro_urbano-867701799_108500/
Chalet;495000;Petrer;38.4540652225183;-0.769972979477365;240.0;5.0;3.0;Entre 20 y 30 años;Reformado;True;Privado;Todos;Privado;Exterior;True;False;False;0ª;2026-02-24;https://www.pisos.com/comprar/chalet-urbanizacion_loma_bada-870005903_519261/
Ático;106000;Formentera del Segura;38.088370764;-0.727688003;72.0;3.0;1.0;Desconocida;Desconocida;True;Desconocido;Desconocido;Desconocido;Comunitaria;False;False;True;Desconocida;2025-07-26;https://www.pisos.com/comprar/atico-formentera_del_segura_centro_urbano-880870989_108500/
Piso;429999;Alicante Alacant;38.3457534;-0.4838418;201.0;5.0;2.0;Entre 30 y 50 años;En buen estado;False;Desconocido;Desconocido;Desconocido;Sin piscina;False;False;True;4ª;2026-02-19;https://www.pisos.com/comprar/piso-centro_tradicional03002-923799989_512463/
Piso;525000;Benidorm;38.537140198;-0.157945045;110.0;4.0;2.0;Entre 10 y 20 años;Reformado;True;Privado;Sur-Este;Privado;Sin piscina;False;False;True;19ª;2026-02-24;https://www.pisos.com/comprar/piso-platja_de_ponent-937841783_263100/
Piso;159200;Sax;38.5348320030628;-0.820294460713171;225.0;5.0;3.0;Desconocida;En buen estado;True;Desconocido;Desconocido;Privado;Sin piscina;False;False;True;3ª;;https://www.pisos.com/comprar/piso-sax_centro_urbano-989062355_184300/
Chalet;780000;Calpe Calp;38.6449065;0.0467782;278.0;3.0;3.0;Desconocida;Desconocida;True;Privado;Sur-Este;Privado;Exterior;False;False;False;0ª;;https://www.pisos.com/comprar/chalet-calpe_calp_casco_antiguo-1668559016_101800/
Chalet;695000;Petrer;38.4511054103767;-0.767251084166483;500.0;7.0;5.0;Entre 10 y 20 años;En buen estado;True;Privado;Todos;Desconocido;Exterior;True;False;False;0ª;2026-02-24;https://www.pisos.com/comprar/chalet-urbanizacion_loma_bada-1678739152_519261/
Piso;388000;Altea;38.63071097;-0.005072957;150.0;2.0;2.0;Desconocida;En buen estado;True;Comunitario;Sur-Este;Desconocido;Comunitaria;True;True;True;2ª;;https://www.pisos.com/comprar/piso-mascarat-1716477472_516543/
Piso;2985000;Moraira;38.726682488;0.108177309;515.0;6.0;7.0;Desconocida;Desconocida;True;Privado;Sur;Privado;Exterior;True;True;True;Desconocida;2025-08-26;https://www.pisos.com/comprar/piso-moraira_benimeit_la_sabatera-1743850739_109300/
Casa;750000;L'alfàs del Pi;38.586646411;-0.115618675;463.0;4.0;4.0;Desconocida;Desconocida;True;Desconocido;Desconocido;Desconocido;Comunitaria;False;False;False;0ª;2024-02-26;https://www.pisos.com/comprar/casa_adosada-escandinavia_el_captivador-1757656641_108900/
Apartamento;219900;Pilar de la Horadada;37.871150165;-0.758002569;90.0;3.0;2.0;Desconocida;Desconocida;True;Desconocido;Desconocido;Desconocido;Comunitaria;True;False;False;Desconocida;;https://www.pisos.com/comprar/apartamento-pilar_de_la_horadada_torre_de_la_horadada-1763966200_108500/
Chalet;1175000;Orihuela;37.901613153;-0.754273393;197.0;4.0;4.0;Desconocida;Desconocida;False;Privado;Desconocido;Desconocido;Exterior;False;False;False;0ª;2026-02-23;https://www.pisos.com/comprar/chalet-dehesa_de_campoamor_aguamarina03189-2524323600_106700/
Apartamento;85900;Almoradí;38.116346173;-0.790201153;70.0;2.0;2.0;Desconocida;En buen estado;False;Desconocido;Desconocido;Desconocido;Exterior;False;False;True;Desconocida;2026-02-24;https://www.pisos.com/comprar/apartamento-almoradi_centro_urbano-2540484595_106700/
Chalet;1985000;Calpe Calp;38.671230579;0.069519551;295.0;3.0;5.0;Desconocida;Desconocida;True;Privado;Sur;Privado;Exterior;True;False;False;0ª;;https://www.pisos.com/comprar/chalet-la_cometa_carrio_park-2555422837_109300/
Chalet;399900;Orihuela;37.953286149;-0.748230228;162.0;3.0;2.0;Menos de 5 años;Desconocida;False;Desconocido;Desconocido;Desconocido;Exterior;True;False;False;0ª;2026-01-20;https://www.pisos.com/comprar/chalet-las_filipinas_villamartin_canal_norte03189-2559112494_100500/
Piso;185000;Alicante Alacant;38.3444401;-0.4850511;70.0;2.0;1.0;Entre 30 y 50 años;En buen estado;False;Desconocido;Este;Desconocido;Sin piscina;True;False;True;1ª;2025-10-21;https://www.pisos.com/comprar/piso-casco_antiguo_santa_cruz03001-2561238882_516593/
Finca;107000;Ibi;38.624996279;-0.571202236;90.0;2.0;1.0;Desconocida;A reformar;False;Desconocido;Desconocido;Desconocido;Sin piscina;False;False;False;0ª;2026-02-24;https://www.pisos.com/comprar/finca_rustica-ibi_centro_urbano-2571975360_229100/
Chalet;2650000;Altea;38.6294851;-0.0119038;400.0;4.0;5.0;Menos de 5 años;Desconocida;True;Privado;Este;Desconocido;Exterior;True;True;False;0ª;2026-02-08;https://www.pisos.com/comprar/chalet-mascarat03599-2594153683_109300/
Chalet;299000;Daya Nueva;38.1135932;-0.7543356;98.0;3.0;2.0;Desconocida;A estrenar;True;Privado;Norte-Este;Privado;Exterior;False;False;False;0ª;2026-02-24;https://www.pisos.com/comprar/chalet-daya_nueva_centro_urbano-3389013664_100500/
Chalet;472000;Polop;38.621279435;-0.145222215;117.0;3.0;2.0;Desconocida;Desconocida;True;Desconocido;Sur;Desconocido;Sin piscina;False;False;False;0ª;2026-02-24;https://www.pisos.com/comprar/chalet-cotelles-3400557750_108500/
Chalet;1175000;Orihuela;37.90010774;-0.75691258;194.0;3.0;4.0;Desconocida;Desconocida;False;Privado;Desconocido;Desconocido;Exterior;True;False;False;0ª;2026-02-23;https://www.pisos.com/comprar/chalet-dehesa_de_campoamor_aguamarina03189-3403212868_106700/
Chalet;2146000;Altea;38.6429213;-0.0333708;353.0;3.0;5.0;Desconocida;Desconocida;True;Desconocido;Desconocido;Privado;Exterior;False;False;False;0ª;2026-02-24;https://www.pisos.com/comprar/chalet-altea_altea_la_vella03599-3410687422_106700/
Apartamento;120000;Algorfa;38.068424768;-0.783528207;137.0;3.0;2.0;Desconocida;En buen estado;False;Desconocido;Desconocido;Desconocido;Sin piscina;False;False;True;Desconocida;2026-02-24;https://www.pisos.com/comprar/apartamento-algorfa_centro_urbano-3431828277_106700/
