nombre;id;detalle_url;latitud;longitud;localidad;region;precio;superficie_construida;superficie_til;superficie_solar;habitaciones;baos;antigedad;conservacin;referencia;armarios_empotrados;carpintera_interior;tipo_suelo;carpintera_exterior;chimenea;cocina_equipada;comedor;lavadero;puerta_blindada;sistema_de_seguridad;terraza;jardn;orientacin;urbanizado;calle_alumbrada;calle_asfaltada;se_aceptan_mascotas;tipo_de_casa;garaje;piscina;gastos_de_comunidad;agua;aire_acondicionado;calefaccin;trastero;amueblado;vidrios_dobles;luz;telfono;adaptado_a_personas_con_movilidad_reducida;gas;no_se_aceptan_mascotas;ascensor;planta;exterior;balcn;soleado;portero_automtico;interior;fecha
"&#xC1;tico en Ensanche";38313605,500626;https://www.pisos.com/comprar/atico-alcoi_alcoy_ensanche-38313605_500626/;38,700241319;-0,481299659;Alcoi Alcoy;Alicante;70.000 €;90 m²;90 m²;;2;1.0;Entre 5 y 10 años;En buen estado;000489;;Haya;Gres;Aluminio;;TRUE;Salón;;;;18 m²;;;;;;;;;;;TRUE;;;TRUE;;;TRUE;;;;;;5ª;TRUE;True;;;;23/12/2025
"Piso en calle Dr Mara&#xF1;on, n&#xBA; 10";58089976,4433;https://www.pisos.com/comprar/piso-ibi_centro_urbano-58089976_443300/;38,6241741090101;-0,574838651520533;Ibi;Alicante;139.000 €;120 m²;120 m²;;4;1.0;Entre 30 y 50 años;En buen estado;001670;1;Barnizada;Terrazo;Aluminio climalit;;Muy amplia y reformada;Amplio, con balcón y mucha luz;;TRUE;;Comunitaria;;Este;;;;;;;;45 €. Por mes;TRUE;;Calor azul;En la misma vivienda más otro amplio en la terraza;TRUE;TRUE;TRUE;;;;;TRUE;4ª;TRUE;True;TRUE;TRUE;;24/02/2026
"&#xC1;tico en Playa San Juan";62379629,4342;https://www.pisos.com/comprar/atico-playas_playa_de_san_juan03540-62379629_434200/;38,3807299;-0,4101186;Alicante Alacant;Alicante;950.000 €;100 m²;100 m²;;3;2.0;;A reformar;001616;;;;;TRUE;TRUE;TRUE;TRUE;TRUE;;50 m² en planta;Comunitario;Vistas al mar;;;;;;TRUE;Comunitaria;360€/trimestre;;;;;;;;;;;;TRUE;10ª;TRUE;;TRUE;;;02/02/2026
Piso en Mallaeta;70212031,2631;https://www.pisos.com/comprar/piso-montiboli_playa_el_paraiso-70212031_263100/;38,5024926701045;-0,241089855951997;La Vila Joiosa Villajoyosa;Alicante;200.000 €;85 m²;85 m²;;3;2.0;Entre 10 y 20 años;En buen estado;001052;2;TRUE;Sin especificar;;;Equipada;TRUE;TRUE;TRUE;;Patio interior ajardinado;TRUE;;;;;True;;;;;TRUE;Frío y calor;Sin especificar;Muy grande;Totalmente equipado.;;TRUE;;True;;;TRUE;Bajo;TRUE;;TRUE;TRUE;TRUE;24/02/2026
Piso en Sta.Rosa;91701876,500626;https://www.pisos.com/comprar/piso-alcoi_alcoy_santa_rosa-91701876_500626/;38,691936218;-0,488744753;Alcoi Alcoy;Alicante;115.000 €;90 m²;90 m²;;4;2.0;;En buen estado;001189;1;;Gres;PVC;;Independiente;;;TRUE;;Patio de 8 m²;;;;;;;;TRUE;;Incluidos;;;Central;TRUE;TRUE;;;;True;TRUE;;TRUE;Bajo;TRUE;;;;;Desconocida_Revisada
"&#xC1;tico en Playa San Juan";110703881,4342;https://www.pisos.com/comprar/atico-playas_playa_de_san_juan03540-110703881_434200/;38,3729557;-0,4186541;Alicante Alacant;Alicante;490.000 €;125 m²;120 m²;;3;2.0;Entre 10 y 20 años;A estrenar;001840;;Pino;Gres;Aluminio blanco;;TRUE;TRUE;TRUE;TRUE;;100 m² en planta alta;Comunitario;Saliente-poniente-norte;;;;;;Más de 2;Con jaccuzzi;300 y pìco €/trimestre;;Airzone;Radiadores;;;TRUE;;;;;;TRUE;10ª;A 3 calles;True;TRUE;Video potero;;02/02/2026
"&#xC1;tico en Sta.Rosa";143593934,500626;https://www.pisos.com/comprar/atico-alcoi_alcoy_santa_rosa-143593934_500626/;38,69777;-0,4855081;Alcoi Alcoy;Alicante;90.000 €;80 m²;80 m²;;1;1.0;;En buen estado;000836;;;Tarima flotante;;;TRUE;TRUE;;;;32 m²;;;;;;;;;;;;;;;;TRUE;;;;;;;4ª;TRUE;;TRUE;;;28/10/2025
"&#xC1;tico en calle Ponent";161137944,2631;https://www.pisos.com/comprar/atico-cala_de_villajoyosa-161137944_263100/;38,522704436;-0,17754721;La Vila Joiosa Villajoyosa;Alicante;365.000 €;131 m²;131 m²;;3;3.0;;En buen estado;000966;Más de 2;;Mármol;Aluminio;;Independiente;TRUE;TRUE;TRUE;TRUE;Amplia;Comunitario;Se;;;;True;;1;Comunitaria;;;Frío y calor;Central;TRUE;;TRUE;;;True;;;TRUE;12ª;TRUE;;TRUE;TRUE;;Desconocida_Revisada
Piso en Muro de Alcoy;246821078,500626;https://www.pisos.com/comprar/piso-muro_de_alcoy_centro_urbano-246821078_500626/;38,781814633;-0,443843119;Muro de Alcoy;Alicante;140.000 €;164 m²;164 m²;;4;2.0;;En buen estado;002650;TRUE;;Terrazo;;;Office;TRUE;;TRUE;;;;;;;;;;;;;;;TRUE;;;TRUE;;;;TRUE;;TRUE;4ª;Excelente orientación;True;TRUE;;;01/08/2025
"Finca r&#xFA;stica en calle Partida Hoya de Ibi";257749697,4433;https://www.pisos.com/comprar/finca_rustica-castalla_centro_urbano-257749697_443300/;38,595690207;-0,671891898;Castalla;Alicante;260.000 €;45.347 m²;45.347 m²;45.347 m²;;;;En buen estado;001982;;;;;;;;;;;;;;;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;Desconocida
